train_loss,train_acc,test_loss,test_acc,steps_run,depth,channels,patch,grid,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.41576962631482345,0.8520883413461539,0.7390188564300537,0.7569,9766,3,128,8,4,912650,87350,1000000,0.08735,10,1244.234375000001,0.3147991780753212
0.4389442650553508,0.8436999198717948,0.7510319599151611,0.7556,9766,4,112,8,4,928042,71958,1000000,0.071958,10,1353.750488281251,0.33569412576659274
0.4740370782331014,0.8351111778846154,0.7307171424865723,0.7541,9766,5,104,8,4,996954,3046,1000000,0.003046,10,907.8278808593759,0.33473605504615256
0.528988681638088,0.8139773637820513,0.7714519633293152,0.7395,9766,6,88,8,4,856602,143398,1000000,0.143398,10,993.7272949218759,0.3621371061555553
0.5198489129543304,0.8171824919871795,0.7730632843971252,0.7453,9766,7,88,8,4,996346,3654,1000000,0.003654,10,778.7534179687509,0.34938006931359283
0.5593289755857908,0.8022836538461539,0.7800275918960571,0.7384,9766,8,80,8,4,940650,59350,1000000,0.05935,10,884.2022705078134,0.3861827910782711
0.592126094760039,0.7905899439102564,0.793109578704834,0.7323,9766,9,72,8,4,857242,142758,1000000,0.142758,10,657.3287353515634,0.35590441486188173
0.5925718483825525,0.7903145032051282,0.7972879590988159,0.7289,9766,10,72,8,4,950842,49158,1000000,0.049158,10,592.3433837890634,0.36134163116156526
0.6430840856180742,0.7715594951923077,0.8177401921272278,0.7201,9766,11,64,8,4,827018,172982,1000000,0.172982,10,628.8463134765634,0.38476014879208786
0.631630424887706,0.7765925480769231,0.8191705010414123,0.7156,9766,12,64,8,4,901002,98998,1000000,0.098998,10,540.8602905273447,0.37611288426716716
