depth,width,active_params,pad_params,total_params,padding_ratio,train_mse,test_mse,steps_run,agop_offdiag_energy,agop_offdiag_ratio
3,688,995568,4432,1000000,0.004432,0.023159395939213043,0.025485006213188173,4883,52.96841430664162,0.41727943231481923
4,560,982272,17728,1000000,0.017728,0.024301722102074753,0.026747849822044374,4883,51.02525329589943,0.4154594827764047
5,480,958592,41408,1000000,0.041408,0.02757400894344512,0.030176577806472777,4883,50.03382873535256,0.4123598923669597
6,432,967712,32288,1000000,0.032288,0.029916191248880186,0.03231275570392609,4883,51.320442199708026,0.4195449596367199
7,400,993232,6768,1000000,0.006768,0.03203713227122937,0.03466085505485535,4883,48.778266906739276,0.41398845073711693
8,368,979648,20352,1000000,0.020352,0.035697445944134744,0.03840227723121643,4883,49.80061340332131,0.4173885453279656
9,336,933104,66896,1000000,0.066896,0.038909313495208715,0.04126718616485596,4883,48.82510375976662,0.421061150283923
10,320,951072,48928,1000000,0.048928,0.039669950538082525,0.04233777236938477,4883,49.811157226563495,0.4240227020116819
11,304,953072,46928,1000000,0.046928,0.04155006656550643,0.04364557147026062,4883,50.15489196777443,0.424406377423883
12,288,940640,59360,1000000,0.05936,0.04337013220137526,0.04635076248645782,4883,49.99372863769631,0.42955960552860395
