train_mse,test_mse,test_rmse,steps_run,depth,hidden_size,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
6.508722609065627e-07,5.920388845576478e-07,0.0007694406309505937,13021,3,256,996120,3880,1000000,0.00388,24,31.864660263062525,0.8809556126749367
9.05991360410433e-07,8.273435475227112e-07,0.0009095842718092212,13021,4,208,920424,79576,1000000,0.079576,24,37.30791473388772,0.8886937245069708
1.54668599470086e-06,1.3469583791447803e-06,0.0011605853605593946,13021,5,176,847464,152536,1000000,0.152536,24,29.85624408722024,0.882203319524996
1.767811876367416e-06,1.5284917960040426e-06,0.0012363218820372155,13021,6,160,855864,144136,1000000,0.144136,24,50.70166635513406,0.889248026510037
2.713546467053997e-06,2.3729392754224437e-06,0.0015404347683113503,13021,7,144,819528,180472,1000000,0.180472,24,29.256042480469752,0.8769815799810331
3.0245744590174154e-06,2.6657600077063156e-06,0.001632715531777142,13021,8,144,944808,55192,1000000,0.055192,24,40.15175437927346,0.8780051464720884
4.606177336952042e-06,4.392128592977921e-06,0.002095740583416259,13021,9,128,846744,153256,1000000,0.153256,24,47.224260807038355,0.8772165125129023
3.8454220124413485e-06,3.5356647179772457e-06,0.0018803363310794284,13021,10,128,945816,54184,1000000,0.054184,24,27.950969696045924,0.8614138127569408
5.922403353740916e-06,5.6673567936134835e-06,0.0023806210940873146,13021,11,112,801384,198616,1000000,0.198616,24,27.791752815247584,0.8575921976431989
6.16452683363653e-06,5.752100808119091e-06,0.002398353770426517,13021,12,112,877320,122680,1000000,0.12268,24,36.57698249816995,0.8614875455218601
