target_n,depth,d_model,n_heads,d_ff,active_n,pad_ratio,alpha,train_ce,val_ce,test_ce,aofe,aofe_ratio,wtw_aofe_ratio,steps_run,elapsed_s
300000,1,128,32,512,295680,0.0144,0.0078,2.214072,2.2108,2.218648,145453628416.0,0.949501,0.63108,1647,49.3
300000,2,96,24,384,295872,0.0138,0.0208,2.228913,2.228178,2.235294,85913868288.0,0.941481,0.629769,1647,69.9
300000,3,80,20,320,292960,0.0235,0.0375,2.240357,2.239913,2.247202,124471599104.0,0.941734,0.648775,1647,84.5
300000,4,68,17,272,275400,0.082,0.0588,2.267655,2.267379,2.272941,65504554496.0,0.939383,0.599299,1647,98.4
300000,5,64,16,256,296320,0.0123,0.0781,2.252933,2.25199,2.256589,100687311360.0,0.941814,0.604754,1647,107.5
300000,6,56,14,224,270256,0.0991,0.1071,2.28005,2.278946,2.285057,81576203776.0,0.940527,0.571727,1647,119.4
300000,8,48,12,192,259680,0.1344,0.1667,2.343306,2.343737,2.348955,95413509120.0,0.94254,0.56248,1647,139.2
300000,10,44,11,176,267960,0.1068,0.2273,2.319943,2.319143,2.324533,47295481600.0,0.936759,0.52987,1647,162.0
300000,12,40,10,160,263120,0.1229,0.3,2.391163,2.392914,2.39786,25616198400.0,0.93708,0.531704,1647,178.6
300000,16,36,9,144,278856,0.0705,0.4444,2.397252,2.397545,2.403475,29346254208.0,0.940788,0.553918,1647,221.9
300000,20,32,8,128,272960,0.0901,0.625,2.433334,2.433946,2.438291,27452841216.0,0.940682,0.545592,1647,227.4
300000,24,28,7,112,250040,0.1665,0.8571,2.477859,2.478634,2.483022,18904648448.0,0.939459,0.455377,1647,258.7
1000000,1,256,64,1024,984576,0.0154,0.0039,1.565,1.545128,1.567999,383632834560.0,0.929363,0.76801,5493,295.4
1000000,2,188,47,752,994520,0.0055,0.0106,1.544675,1.52603,1.547967,381559787520.0,0.925145,0.773751,5493,432.8
1000000,3,156,39,624,998088,0.0019,0.0192,1.447801,1.428545,1.451391,248127168512.0,0.925107,0.765829,5493,529.7
1000000,4,136,34,544,994704,0.0053,0.0294,1.444366,1.424392,1.445884,138728214528.0,0.923418,0.778644,5493,614.1
1000000,5,120,30,480,958800,0.0412,0.0417,1.443274,1.422004,1.445873,133661605888.0,0.923024,0.764921,5493,690.9
1000000,6,112,28,448,992096,0.0079,0.0536,1.456478,1.434802,1.461597,77112178176.0,0.92191,0.780321,5493,769.9
1000000,8,96,24,384,961728,0.0383,0.0833,1.459988,1.439966,1.463528,102533121024.0,0.927483,0.74192,5493,865.9
1000000,10,84,21,336,914760,0.0852,0.119,1.4993,1.479061,1.500546,67334565888.0,0.922497,0.723315,5493,926.3
1000000,12,80,20,320,987040,0.013,0.15,1.488907,1.467793,1.489036,74304262144.0,0.924794,0.709662,5493,1052.2
1000000,16,68,17,272,944520,0.0555,0.2353,1.544203,1.525556,1.545818,62705829888.0,0.92111,0.695972,5493,1231.5
1000000,20,60,15,240,915000,0.085,0.3333,1.604572,1.586994,1.608074,82997617152.0,0.926105,0.668144,5493,1338.1
1000000,24,56,14,224,951664,0.0483,0.4286,1.621736,1.604571,1.624146,75854381056.0,0.924764,0.639642,5493,1503.9
3000000,1,468,117,1872,2990520,0.0032,0.0021,1.297732,1.28072,1.302022,90349161472.0,0.908649,0.873567,16479,1723.7
3000000,2,336,84,1344,2970912,0.0097,0.006,1.277985,1.259989,1.28173,192840785920.0,0.931202,0.900309,16479,2339.2
3000000,3,276,69,1104,2958168,0.0139,0.0109,1.183139,1.167111,1.188545,39595340032.0,0.935588,0.891605,16479,2879.2
3000000,4,240,60,960,2953440,0.0155,0.0167,1.170107,1.154092,1.174257,24682689152.0,0.934815,0.889982,16479,3197.8
3000000,5,216,54,864,2970000,0.01,0.0231,1.155392,1.139794,1.159813,24843462400.0,0.938771,0.894669,16479,3590.6
3000000,6,196,49,784,2921576,0.0261,0.0306,1.16224,1.145661,1.167506,21771470080.0,0.93675,0.884643,16479,3919.6
3000000,8,172,43,688,2978008,0.0073,0.0465,1.161024,1.145783,1.166009,20570124288.0,0.939659,0.878597,16479,4604.9
3000000,10,152,38,608,2895600,0.0348,0.0658,1.162472,1.147241,1.166131,12648632576.0,0.936708,0.872115,16479,4980.1
3000000,12,140,35,560,2936920,0.021,0.0857,1.169039,1.153404,1.172733,17746202752.0,0.939589,0.861262,16479,5509.7
3000000,16,120,30,480,2864880,0.045,0.1333,1.178018,1.161943,1.182345,11833195392.0,0.933722,0.840718,16479,6478.1
3000000,20,108,27,432,2891160,0.0363,0.1852,1.192673,1.175162,1.194777,11103291136.0,0.937546,0.835642,16479,7334.0
3000000,24,100,25,400,2966600,0.0111,0.24,1.193337,1.176661,1.196753,11433327808.0,0.936755,0.824581,16479,7827.3
